arrival_delay,departure_delay,day_of_week,scheduled_dep_time,airline,destination,distance,month
-35.0,-11.0,1,1743,9E,DTW,453.0,1
-12.0,4.0,2,1743,9E,DTW,453.0,1
-10.0,-7.0,3,1743,9E,DTW,453.0,1
-17.0,-4.0,4,1743,9E,DTW,453.0,1
-10.0,-8.0,5,1743,9E,DTW,453.0,1
-5.0,4.0,6,1743,9E,DTW,453.0,1
54.0,52.0,1,942,9E,DTW,453.0,1
-28.0,-10.0,2,1145,9E,DTW,453.0,1
-15.0,-11.0,3,1145,9E,DTW,453.0,1
5.0,0.0,4,942,9E,DTW,453.0,1
-9.0,-7.0,5,942,9E,DTW,453.0,1
17.0,2.0,1,942,9E,DTW,453.0,1
-5.0,-11.0,4,942,9E,DTW,453.0,1
81.0,10.0,5,942,9E,DTW,453.0,1
5.0,0.0,7,942,9E,DTW,453.0,1
-25.0,-10.0,1,942,9E,DTW,453.0,1
-13.0,-5.0,4,942,9E,DTW,453.0,1
-19.0,-10.0,5,942,9E,DTW,453.0,1
-17.0,-5.0,7,942,9E,DTW,453.0,1
-21.0,-10.0,1,942,9E,DTW,453.0,1
-22.0,-14.0,2,1145,9E,DTW,453.0,1
-28.0,-8.0,3,1145,9E,DTW,453.0,1
9.0,5.0,1,1520,9E,DTW,453.0,1
-16.0,-3.0,2,1520,9E,DTW,453.0,1
-13.0,-7.0,3,1520,9E,DTW,453.0,1
-2.0,-5.0,4,1520,9E,DTW,453.0,1
35.0,17.0,5,1520,9E,DTW,453.0,1
86.0,95.0,6,1520,9E,DTW,453.0,1
30.0,17.0,7,1520,9E,DTW,453.0,1
96.0,43.0,1,1520,9E,DTW,453.0,1
144.0,54.0,2,1520,9E,DTW,453.0,1
46.0,44.0,3,1520,9E,DTW,453.0,1
9.0,13.0,4,1520,9E,DTW,453.0,1
13.0,16.0,6,1520,9E,DTW,453.0,1
173.0,179.0,7,1520,9E,DTW,453.0,1
-5.0,4.0,1,1520,9E,DTW,453.0,1
-12.0,-6.0,2,1520,9E,DTW,453.0,1
150.0,166.0,3,1520,9E,DTW,453.0,1
-7.0,1.0,4,1520,9E,DTW,453.0,1
40.0,47.0,6,1520,9E,DTW,453.0,1
17.0,28.0,7,1520,9E,DTW,453.0,1
5.0,25.0,1,1520,9E,DTW,453.0,1
20.0,33.0,2,1520,9E,DTW,453.0,1
15.0,38.0,3,1520,9E,DTW,453.0,1
-24.0,0.0,2,1239,9E,DTW,453.0,1
-10.0,-1.0,3,1239,9E,DTW,453.0,1
-21.0,-8.0,4,1239,9E,DTW,453.0,1
-13.0,-1.0,5,1239,9E,DTW,453.0,1
-23.0,-1.0,6,1239,9E,DTW,453.0,1
-5.0,4.0,7,1237,9E,DTW,453.0,1
2.0,-7.0,1,1053,AA,PWM,364.0,1
-20.0,-11.0,2,1053,AA,PWM,364.0,1
-15.0,0.0,3,1053,AA,PWM,364.0,1
-19.0,-2.0,4,1053,AA,PWM,364.0,1
-9.0,7.0,5,1053,AA,PWM,364.0,1
76.0,92.0,6,1053,AA,PWM,364.0,1
-8.0,-1.0,7,1053,AA,PWM,364.0,1
51.0,71.0,1,1053,AA,PWM,364.0,1
,,2,1053,AA,PWM,364.0,1
-19.0,-5.0,3,1053,AA,PWM,364.0,1
